Name,Address,Rating,Place ID,Reviews,Distance from Center
Pasta la Vista,"Strada George Barițiu 27, Cluj-Napoca",4.3,ChIJvQnke5wOSUcRwi8B4S6tw58,"Martin Dugard: Pasta La Vista in Cluj is a must-try for pasta lovers!

Their Pasta di Mare full of fresh ingredients and rich flavors

The menu offers a great variety, and every dish is made to perfection.

The takeaway service is fast, making it a perfect option for a quick yet meal.

For pasta in Cluj, Pasta La Vista is the place to go!; Raluca Martin: I ordered from Tazz app
Salmon Pasta - it was awful no salmon just the flavour of it; Bianca Avram: Pasta is excellent, al dente, exactly how it should be. The sauce is rich and full of flavour. I ordered two portions, for my friend and I and the quantity was huge for us. 440 grams is a lot for that price under 30 RON.; Krisztina Gál: Delicious lunch!

I used to love this place and for sure I will in the future, because of their unique ideas, cute place and of course delicious pasta.
This time the pasta wasn't perfect, I felt that the quality wasn't like 2 years ago (last time I was eating at Pasta la Vista), but it was nice and tasted well.; Radu Martin: It's a takeout place. The food it's great, the place it's near the central park, the prices are good. You can wait on a bench until your order it's ready.",0.51
Old Shepherd,"Calea Moților 8, Cluj-Napoca",4.5,ChIJOS0PGp0OSUcRLw1tqiC5ZRk,"Pavlo D: Nice little bar to hang out,  especially for 30  year old people. Music is too loud to talk about anything,  so you better just drink. I met some rude customer here who said some shitty joke to me, so beware.
Anyway,  good place to hang out!; Alexandru Barsan: The staff is brilliant, the place has a good vibe and the drinks are pretty good. The only downside is the prices compared with the places nearby, but if don't really care about this aspect you will have a blast.

Staff: 5/5
Drinks: 5/5
Place: 5/5
Prices: 3/5; Sarah Follie: The best bar in Cluj! A must have!. Such good drinks, nice prices and an amazing staff! My favorite here! 😍😍 Miss being in Irland? This bar is your escape! See you next time.; Zoltan Batinas: It's a good pub with a real pub feel in the city centre with a huge variety of spirits. Staff if super friendly and the music is always great. It's a pub but people standing up and dancing is not uncommon, in fact in most weekends there is a real party scene.; Dan Nemes: Just like the old old Shepard, amazing music, beautiful people, incredible drinks 🤗",0.56
Marco Polo Restaurant,"Strada Sindicatelor 9-13, Cluj-Napoca",4.7,ChIJYYeZTIMOSUcRtIfl8meSJC8,"M Howell: Hotel breakfast was delicious. When we told the staff we had dietary restrictions, they told us they would be more than happy to cook us whatever we wanted to be able to accommodate us. They even brought out gluten free bread which was AMAZING.

For dinner, this restaurant was a great date night spot. Quiet, clean, and food was delicious. Again, just like at breakfast, the staff was great with our dietary restrictions. They even have a clear and helpful allergen menu to make things easier 🙂; Fabiola Hsu: I order duck confit and it is so delicious. Because the duck is full of fatty aroma and the sauce is perfectly matched with potato mash and cabbage.
My friend has creamy truffle pasta and it’s so delicious too.; Anand Peri: The food was awesome, Denis was great and made me feel at home very knowledgeable. He went out of his way and gave me grilled chilled and onions along with my food when I said I like spicy.
He also suggested great pairing local vines !!

I would highly recommend Marco Polo and Dennis for anyone visiting Cluj Romania.; Andrej Ksinan: Darius service was excellent. Good food; Gabriela Ilie: I recently dined at the Marco Polo restaurant at the Hilton Hotel in Cluj-Napoca, and the experience was truly exceptional, thanks to my waiter, Denis. From the moment I arrived, Denis welcomed me with a joyful and kind demeanor that set the tone for the evening. His warm hospitality and genuine enthusiasm made me feel right at home.

Denis was not only attentive but also incredibly helpful, providing excellent recommendations and ensuring my dining experience was nothing short of perfect. His professionalism, combined with his friendly nature, truly stood out. He anticipated my needs and went above and beyond to make my meal memorable.

In a city known for its hospitality, Denis is undoubtedly the best in Cluj-Napoca. If you’re looking for a top-notch dining experience, be sure to ask for Denis at Marco Polo – he will elevate your visit with his outstanding service.

Thank you, Denis, for making my evening so special!",0.57
Snack & Coffee,"Calea Dorobanților 5, Cluj-Napoca",4.3,ChIJOX-msiYMSUcREYdstdCGxNM,"Andrei Nejur: Nice place friendly staff / owner. Good for a short rest while waiting for the local tax administration.; Madalina M: Nice, cosy place to grab a sandwich and have a coffee; Calin Iova: Best coffe; radu marcel ciuca: Best coffee.; Cosmin George: Very expensive and poor quality coffee, I do not recommend it",0.58
Gente Senior,"Strada Horea 5, Cluj-Napoca",4.2,ChIJTxFkTJkOSUcR4i5_VAKfCRg,"Olimp Boros: Second week in a row, and my second soup today after a Chicken a la Grec in a different place, but same like last week here, a so tasty & delicious #tripesoup 🙏🏻 Definitely recommended! Serving was so fast & professional even though in the next hall there was a private dinner for 30 persons! Thank you, Multumesc!; Giulia: The atmosphere was OK, the waiter was OK, but I ordered a chicken salad and it was not good. The chicken seemed to be old, it had an odd taste and I also found a piece of sausage in my salad. My friend ordered chicken in 3 souces and one of the chicken pieces was raw inside, so no. I do not recommend this place, maybe for a drink but nothing more.; Tania Neagota: This place looks, feels and is dated. It looks exactly like 15 years ago, failed to keep to date with outlook, menu layout, or even quality. The prices are decent, but, to be honest, i would have been willing to pay more if it meant better food or coffee.

Not entirely sure how this place affords to welcome customers in the heart of the city with this service.. it wasn’t entirely bad, just disappointingly mediocre.. we had a large pizza and coffee.. bad coffee.; Diana M.: Very fast serving, the clients don't wait a minute. It has a very good food, and is also the cheapest in town.; wim rietberg: Delicious pizza! Even the half pizza's (around 550-600 gram) are enough to fill a big man's stomach!",0.6
wEBSite Bistro,"Strada Constanța 19-21, Cluj-Napoca",4.6,ChIJefnIyJ8OSUcR9CVtNazX_Ic,"Olimpia Pop: Nice restaurant. Appropriate for corporate events and other type of events as well. Good service and food. Some kinds of foods were too fancy-ackward though. The black walls could be the reason why the overall feeling is a little depressant at some point.; Adrian Szekely: It smelled of food way too much; Marie Druguet: Greek night. Good music. Good decoration. The food was very average. Not surprised because it seems that in Romania, the look of the place matters more than the taste of the food...
But very nice efforts and good idea to have nights with themes!; Hunor Kovács: Decent food with large portions. Staff is very kind. A bit expensive. Similar places like Opera Restaurant is about 10 lei less and similarly good; Bogdan Olar: Delicious food, lovely staff, nice view. Good location for any private party.",0.63
Casa Maramureșeană,"Bulevardul 21 Decembrie 1989 82, Cluj-Napoca",4.4,ChIJ6zZrCCEMSUcRI7lo_62l6Bs,"A. A. M.: First time visiting this beautiful and cozy restaurant.

The restaurant has a lovely terrace where you can enjoy your meals as well as indoors.

The food was really delicious 😋
The staff was very friendly,
The atmosphere was just cozy,
The terrace was really spotless,
The prices are reasonable and so are the portions per meals.

And if you want to eat a good Papanasi, this is a good place to enjoy it.

Be aware that if you come with a group of people and one person wants to eat a salad and the rest don't, then the main courses meals of your friends/family/group won't be served at the same time as the salad but after he/she finishes the salad.

Also, I will recommend to make a reservation before you come to this restaurant.

Nevertheless, I definitely recommend this restaurant.; Cellist Esther: Super Tasty Rumanian traditional food 😋

And the Rumanian traditional pickles from Dish are really really good. That pickle was even better when we ate it with the meat and fried rice! (Maybe i think this pickle well with any food.)👌👌👌
We're totally holic the taste of the pickles.
And the staff was really friendly and she served us with a smile until the end.
And the portions are HUGE!!!🤩
I think Rumanians seem to be generally calm and friendly.🥰🥰
Thank you so much !!!😘; Natalia B: Nice traditional tasting and looking food.   Big portions, moderate prices. I would definitely  visit again.; Stefano Galgani: An extremely quaint, wonderfully decorated place; it may on the surface look a bit touristy, but it actually turns out to be just very typical.
The service may seem a bit grumpy and unsmiling at first, but later turns out to be absolutely prompt and courteous.
The food is really excellent, but the added value is the house wine in a jug that was really the best of those we drank on our trip in Transylvania.
A very pleasant surprise finally the price, absolutely in line with what is offered and excellent compared to the local competition.
Not to be missed if you are passing through Cluj.; Massimo Barattini: The food is good, but the waiting times are extreme. We waited more than one hour to be served. The waiter looked a bit rude and seemed like he wasn't really happy with us being there",0.72
Salad Box,"Calea Dorobanților 18-20, Cluj-Napoca",3.9,ChIJGbBtAyMMSUcRYuea_5dhELc,"Harmit Singh: It is very nice place to have your healthy meal but it can be little expensive. Taste is good and portions are also quite good and they do have good options. Generally it is crowded. Go early to get fresh food.; Bassel Romany: Why the hell you say it’s open if it’s closed, never seen such lazy people. And be generous with the quantities. Every time I have to ask the lady to please put more cause I’m vegetarian.; andreea m: Great concept.. tooo expensive. And they start putting less quantity in too. You used to get 400gr for a smaller price, but now the start putting less..; Adrian Silviu Olar: Great place to grab a piece of healthy food while in a hurry. They have a great variety of salads, soups and heahlty deserts.; Bogdan Hurtupan: As always, typical Romanian business. It's 12:10PM and they lack the ingredients they advertise on their huge billboards :))",0.82
Shenyang,"Strada Cloșca 1, Cluj-Napoca",4.5,ChIJ-zkqwpgOSUcRcazTk2RBG_8,"Cristina Iancu: Affordable food but eat-at-your-own-risk kinda situation.

We ordered 2 chicken noodles and one beef and rice, and one pork dumpling tray to share.

The chicken dishes were bland without soy sauce, the beef one was okay, the dumplings tasted funky.

2/3 people in our group had food poisoning symptoms since yesterday, so 😬; Veronica Isailă: I think it’s high time for me to leave a review here in order to help other people discover one of the best places to eat or to order food in Cluj-Napoca!

I recommend this place for VEGAN people, for VEGETARIANS, and also for the meet lovers.

I discovered Shenyang in March this year, although I work at the Faculty of Letters. But I am grateful I discovered it! I stopped order Chinese food from other places since then, because I found the perfect flavour with Shenyang!

You can find this restaurant on both Glovo and Tazz apps, but you have to make sure that they deliver in your area first. I ordered food for one of my friends who lives in Manastur, Ion Mester area, and I discovered they don’t deliver there. But it is manageable, because you can wait for the food in other areas of Cluj and gather together with your friends after you receive it.

I ate form Shenyang the next dishes:
- Ma la fen - it is very spicy. For people who never eat spicy, it is very spicy! So be careful, but it c; Radu H.: I recently had the ocassion to visit and eat at this place. I ordered a chicken bamboo with rice and some sort of dumplings with pork. The chicken bamboo and rice was ok, it would’ve been nice if it had more taste. The dumplings were very good but I “upgraded” them with the available sauces sitting on a table. I did not like the fact that the place itself was not managed properly. It was not dirty but it’s clearly not well taken care of. I had a feeling that they just cook, prepare food and that’s it. They could use some renovation. What I did not like again was the fact that the availabe sauces had no labels. I did not know what I was putting on my dumplings. The bathroom had no dryer or toilet paper. The food is relatively cheap.; Sorina Emanuela Cristescu: Is a chineze restaurant. The food is ready in 10-15 minutes. Is good and fast. We eat beef Noodels and pea Noodels with vegetables ( this was spicy) , were good and also we taste some dumplings with cabbage ( this was not for out taste). I will go here to taste more thinks because this is really chineze place.; Mihai P: The establishment is not amazing, it's very simple and would need some refurbishing,  the customer service is beyond atrocious, about on par with other Romanian customer service. The wait is pretty long

So why did I give it 5 stars?
The food is amazing, cheap and in large quantities.  I've been to many Chinese restaurants in various countries, but this is the first real Chinese restaurant I've been to.

I fully recommend their food, 10/10",0.84
Victor. Fresh to go,"Strada Victor Babeș 33, Cluj-Napoca",4.8,ChIJQRBUHYIOSUcRv-Jf4NLEHBs,"Alex Avram: Lovely place, good coffee, nice vibes, friendly staff and a variety of sweet or salty bites.

Plus they also do sandwiches, bagels and it's  the first place I've found so far that sells Quiches. So very British of them! 😉; Tjeerd: A bit outside the center, but worth the walk (it’s close to the botanical gardens, so you can go there on your way).
Food is fresh and made with natural ingredients. Lot of variety and very tasteful! It’s a bit hipster, but personnel is friendly and you can sit there comfortably.; Theodor-Alexandru Tufa: Probably best order in cluj napoca. Best products and quality in every dish 👏👏👏 a massive well done to the team.; Claudiu Mihaila: I recently visited a cozy little coffee shop and was blown away by their exceptional coffee! The baristas were incredibly friendly and knowledgeable, making sure I had the perfect drink. The atmosphere was inviting with plenty of seating and calming music. Overall, I highly recommend this coffee shop for anyone looking for a quality cup of coffee and a comfortable place to enjoy it.; Andrei Hordouan: A little gem of a coffee shop on a lively street often full of students. Stop by for excellent coffee, juices, sandwiches, desserts and lots more.

Good enough coffee can surely be found in a few other places. But if you want the best coffee together with the friendliest service in town, you need to give this place a try!",0.83
Colin's Gastro Pub,"Strada Cardinal Iuliu Hossu 30-32, Cluj-Napoca",4.1,ChIJLSezlIQOSUcRjC2hieVvQYE,"Robert Simoiu: I've been here multiple times in the last years, and I've never been disappointed.
The food is delicious, portions are usually medium sized, atmosphere is nice and the serving is good.
I also had a table here with 20+ people, and the serving was impeccable.
I come here quite often, because, lile I already said, the food is good, decent priced, and the atmosphere is nice (even inside during winter time). You also have big TVs inside if you need to watch something.
Trully recommend the place.; Augustin Onaciu: Food is acceptable although size of portions and quality went down while prices went up
Service is really good, with polite, joyful staff
Atmosphere is nice, can be loud at certain times
Plenty of parking options near the location
Beautiful terrace, very green and lush; Mk Ten: Just had a quick breakfast here, and we had the frittata (omlete) and the ham and cheese sandwich. They didn’t have a vegetarian breakfast option and they do not sell anything else before 12:00. The food was decent to good, the sandwich does not have bread instead they use burger bun :) service was ok, the place itself is great!; Cristina Danuletiu: Delicious food and a great place overall!
Very nice location near the Central Park, and has cute lights at night.

The food is fresh and tastes good. 10/10
Prices a bit high, but the food is of great quality so  it’s worth it.; Alex Avram: We've been there four times so far and even though I was dragged there everytime as wanted to go some place else, we have had lovely experiences. The waiters were very friendly and polite, providing us the best recommendations. The atmosphere was idyllic and the food was very tasty. We didn't had wings or anything you can grab from a takeaway for that matter. We've tried the following so far: stakes, sea food, the absolutely amazingly tasty bone marrow, the roasted duck with red wine sauce🤤, the smoked beef brisket, the beef ribs and the risotto.
We weren't disappointed by any of them. In fact, after 7 months spent in Barcelona where I've had sea food everyday, I'll have to say their king prawns with tabbouleh salad were absolutely delicious.

They have a nice garden and the interior of the restaurant has a bit of a posh British pub energy. Definitely recommend! 🥰",0.86
Livada - Cluj,"Strada Clinicilor 14, Cluj-Napoca",4.1,ChIJGeCqyIMOSUcRJBV-7x77fTc,"Ana S: One of the nicest restaurants in town, and one of the few with a little interior garden, secluding the place like an oasis in the city center, right between the old town and the central park.
Good food and good service (although I hear that the service may not be so good all the time, probably when the place is full of people).
We had the halloumi salad and the salmon, plus matcha latte and espresso tonic which was interestingly good. The salad was good, and the salmon a bit too sweet in terms of the combination.; Ioachim Lihor: Livada - Cluj Restaurant is a standout dining destination in Cluj-Napoca. Nestled in a scenic garden setting, it offers a relaxing atmosphere perfect for any meal. The menu highlights a fusion of traditional Romanian and contemporary dishes, prepared with fresh, local ingredients. Guests often commend the excellent service, beautifully presented food, and the serene outdoor seating area. An ideal spot for a memorable dining experience.; Ana Maria: We had dinner at Livada and the food was extraordinary. The dessert was also very good, not too sweet at all. We liked the service and the entire atmosphere. We also liked that the portions were reasonable and not too small.; Colda Andrei: I initially reviewed this for 5 stars around 6 years ago. A lot changed since then. I also ate here a few months ago and the food was decent, they had some amazing dumplings with different sauces in the same plate.
They changed the menu recently and switched that dumplings with the traditional ones but tasteless.
The food is now mediocre and pricy for the offer. Would not recommend anymore; Mariia Soliar: I chose Livada because of their great location: it’s not very centered and therefore not extremely crowded at least in the morning and it is very close to the central park where I wanted to walk afterwards.
I had breakfast at Livada and it was amazing. I ordered eggs Benedict (served on toasts with bacon and fresh salad) and a grapefruit fresh. The meal was delicious!
I also loved the atmosphere - it’s like a loft but a cozier version of it. There are guitars and vinyls on the walls, I was lucky to sit next to John Lennon’s vinyl 😁 I guess there are evening music events at this place. Pity, I won’t have a chance to visit one this time but I’ll definitely keep Livada in mind.
The staff was very calm but friendly and polite.
I can definitely recommend it!",0.86
Restaurant Confort,"Calea Turzii 48, Cluj-Napoca",4.3,ChIJd-kiVC4MSUcR7KMxScqqD14,Adina Manascu: ; Ágota Bakos: ; Daniel HA: ,0.88
Polo Restaurant,"400458, Strada Constantin Brâncuși 1, Cluj-Napoca",4.4,ChIJmTdyFiUMSUcRTqXypjAX71U,"Mihai Toma: We recently dined at this restaurant and had a mixed experience. The prices were on the higher side, but the pork knuckle we ordered was great. However, I was quite disappointed by the very burnt pizza Diavola that was served to me. On a positive note, the service was great and the restaurant itself is very aesthetically pleasing. Overall, it was a bit of a mixed bag, but the good service and ambiance somewhat made up for the food shortcomings.; Marius Mucenicu: It's a nice restaurant, with a calm and relaxing atmosphere. Dinners in places like this work wonders.

Service was mediocre, unfortunately. We were told that without a reservation we'd have to eat fast or they won't seat us. Once we sat down they paid little to no attention to us, because larger groups were prioritized (it makes sense, since more people means a bigger check and potentially a bigger tip).

Food was okay, but the quality is nowhere near the prices which are on the high end. I mean, for that money you're dining at premium restaurants like Baracca or Adi Steakhouse.

I'll probably return but they definitely won't be my first choice.; Orsolya Gál-Jankó: The location is nicely designed. The service was good.
On the front page of their menu it is not mentioned that their special menu offer is not available during weekend.
Tomato soup was reach in flavor, lasagne prepared  great, although a little under seasoned.

Taking all in consideration it is a good place to have your meal.; Cristina Aerpo: We loved the brunch had (Eggs Florentine and Scrambled eggs with mushrooms). The food was soooo delicious and the flavours were incredibly tasty 🤍
The music and the overall atmosphere were perfect and the serving as well!

Definitely we'll be back when we will be in Cluj again! 10/10!; Constantin Boca: The place looks great but the atmosphere was ruined by loud an abnoctious club music, very inappropriate for a restaurant. I ordered spaghetti Bolognese which were great and a burger which was just basic.",0.9
Pizza Rex,"Strada Bolyai János 9, Cluj-Napoca",4.4,ChIJJWE3hJ0OSUcRhVruC6gKmOs,"Tamas Bege: It's a nice place for lunch or a casual dinner, the atmosphere is nice.
I was there for lunch and had the house-special mozzarella chicken, which is oven baked chicken breast with tomato sauce and mozzarella. They serve it with a fresh salad on the side, I ordered some pizza bread, they are delicious, especially when fresh out of the oven.
Everything was tasty, I had a mulled wine afterwards, which also was good, a bit too sweet for my taste but good.
Definitely recommend the place, they have daily menus as well, a healthy selection of (especially) Italian food.; Jari: The recipes and everything are pretty much exactly as they have always been. But the pizza is just awesome, one of my favorites in Cluj.; Diandra Marinescu: This week when we visited, being December, they had a Christmas tree and Christmas carols playing. This was the thing I loved the most. The atmosphere was lovely. It's kind of pricy but the food it's tasty and good. I liked the fact that i could choose vegetal cheese for my pizza. The waiters were aslo nice. I would recommend this place in Cluj-Napoca!; Gosia Niedźwiedź: Nice big place. Little bit hot inside, but good food that came fast.
Waitress was nice and answered our  questions!; Radu Sisoe: We walked in with no expectations, but the amazing food, great price/quality, and super friendly service made us come back the following day and spend extra!

P.S.: Get one of the sourdough pizzas!",0.07
Mac Lewy Delivery,"Strada Regele Ferdinand 8 A, Cluj-Napoca",5,ChIJVVXhu50OSUcRmUGYckAtjWk,Makszem Monika: The most delicious pizza in town.,0.19
Baracca,"Strada Napoca 8A, Cluj-Napoca",4.6,ChIJffWjsYIOSUcR8rhRGDmJJqk,"Andreea D: This is (in my opinion) the best fine dining restaurant in Romania. The food is absolutely exquisite, and the prices are quite low for what it offers.

So if you are around Cluj, I highly recommend not missing it; try the tasting menu.; Matthias Tytgat: Simply fantastic. We chose the tasting menu which provided us a whole evening with superb dishes. Great wine choices are available as well. The service is top notch. We had a fantastic evening. Must visit!; Liana: The dishes are delicious and the service absolutely perfect! We visited for a special dinner with friends and we were extremely well taken care of!
The tasting menu is a must try!
Elegant interior and atmosphere; Giorgio Leoni: Had the full tasting menu with wine pairing. Excellent ingredients quality and attention to details. The english speaking waiter explained every bit of the experince from both food and wine side. Not pretentious and very welcoming atmosphere. Hope you guys will get a real well earned star soon!; Vincent Boigk: Exceptional food and great value for money. We also had an exceptionally attentive host who made sure to properly explain all dishes, ingredients, etc. to us.

Best dinner experience in 2023 for me personally.",0.34
Euphoria Biergarten,"Strada Cardinal Iuliu Hossu 25, Cluj-Napoca",4.4,ChIJnXCnl4QOSUcRRF8naW1x02Y,"Pallabi Roy Sonkovics: OMG possibly the best meal I've had all year.

Always feels a bit strong to come out with such a statement, but the Veal Cutlet & Green peppercorn sauce main was just immensely delicious, perfectly cooked, perfectly seasoned - one of those rare moments were I could close my eyes and enjoy every mouthful.

The only draw back? The food took over an hour to arrive. However, the exceptional quality of the meal made it worth every minute of the wait. If you’re willing to be patient, you’ll be rewarded with a truly memorable dining experience!!!; Robert Simoiu: We had a really nice experience here, in the outside garden, of course.
The menu is rich, you have a lot of options to choose from, including starters, main courses, desserts, amd beverages.
The key point here I think is the garden outside, but the food was also tasty. We had various starters, main courses and desserts, and overall it was delicious. A little pricy, but still reasonable.
I recommend this place.; Ioana Condor: I recently dined here with family and was really impressed. The food was exceptional, bursting with flavor and beautifully presented.
Moreover, the restaurant was impeccably clean, which added to the overall pleasant dining atmosphere. The staff was attentive and friendly.
Highly recommend this place for anyone looking for a satisfying meal.; Fulep Sebastian: I do not recommend. I recently tried the Euphoria Burger, and I must say, it was quite a disappointment. The patty was overcooked and dry, lacking the juiciness one would expect from a premium burger. The bun was stale and fell apart easily, making it difficult to enjoy the meal. Additionally, the toppings were sparse and didn't add much flavor or texture to the burger. The overall presentation was unappealing, and the taste was far from euphoric. For the price, I expected a much better experience. I won't be ordering this burger again. Junk !; Lucas: Pretty oily chicken for a ""grill chicken"", but overall good. Waiter only knew English when I was there, just something to know.",0.74
Napoca 15,"Strada Napoca 15, Cluj-Napoca",4.1,ChIJ15Ysu4IOSUcRjZ8Vqo5LRmU,"Cristiana Petcu: I  first tried to order lasagna, but they didn't have, so I took some pasta, which was prepared with a lot of oil. The steak was ok.; Arina Penciu: Had breakfast there. Really delicious omelette and creamy cappuccino. The staff was very pleasant, wore masks and gloves. The interior terrace looks like an Italian one. I was very pleased by the whole service; Samuel Almeida: Cozy restaurante with various spaces to eat. An interesting variety on the menu and good service.; Laurentiu Pop: Really good food at ok prices; Alex B (Alex): This place is a bit bipolar. They try to be fancy and offer an upscale atmosphere. The waiters cetainly try to promote it that way but the food  doesn't really hold up to the facade. It's not bad it's just that the ingredients are not always the best quality and it shows in the more demanding dishes.",0.38
Irish & Music Pub,"Strada Horea 5, Cluj-Napoca",4.3,ChIJnYyPSZkOSUcRPp_Y3cpDlRw,"Paula Pop: Irish is one of the few places in Cluj that has stayed constant throughtout the years. More or less the same menu and prices, quality and atmosphere. The food is delicious (I recommend the O’Lipie with chicken or pizza as well) the stagf is very nice and the atmosphere very nostalgic.; Kulcsar Kalman: The food is great (they also do delivery), and if you like oldschool hits you'll enjoy the music as well. The place is rarely crowded. I  would definitely recommend this place.; Wiki: I ordered Crispy chicken and the chicken was spoiled. It had a verry bad taste. Avoid the food from here, it can be dangerous.; toughtful a.g.: Really good food, low beer prices, amazing service, great music at the right volume.; Rusu Alex: The classic O'Chick amazing crispyness and the sauce is delicious, I always recommended it to everyone and brought people to try it. Serving is also nice and the place as well, it is also very central in Cluj so it s truly worth making a short detour to check it out. They also have 1 liter pints make sure u grab one along your O'Chick. Also the prices are very very good!",0.61
Indigo,"Strada Ștefan Ludwig Roth 17, Cluj-Napoca",4.5,ChIJZTwl3YYOSUcRfswn63Gr-D8,"Mihai Toma: If you're into Indian food, I can say this place is for you. The taste is so complex, so full of flavors while also being spicy.  It's pretty hard to explain this type of food in words, thus I can only recommend that you visit it. The place is good looking and the service is also very good!; Byron Farrow: Great food and great service. Particularly recommend the samosas and the naan. Good butter chicken and chicken tikka masala.; D Dragos: Great variety of foods ! Decent prices and nice serving. We enjoyed our lunch here, recommended; Mihai Grigore: If your in Cluj Napoca, or around, you really need to visit this Indian restaurant. The service is amazing, the atmosphere is cool and the food is the best indian food i've tasted in Romania. You do not need to get a reservation for a table, every time i've went they had a free table. You can pay by card or cash and you can also have a takeout; KriSZ: Great Paneer and Dal. The garlic naan with chilli definitely  my favourite but I would prefer it more spicy. I would say quite small portions but very tasty. Quality- price can't  complain but like I said maybe could be a bit bigger. Would recommend  to add some more wines by the glass cause not everyone  wants a bottle. Everything  was freat until we ordered the Saag Kofta that was very very salty 😒. Pls do change the soap in the toilets it looks so so cheap 🙄. I definitely  recommend  the place for a great indian experience in Cluj.",0.68
Restaurant Shanghai,"Calea Turzii 42, Cluj-Napoca",4.5,ChIJcb90qS8MSUcR46o2UiUx8kY,"Ioana-Livia Murariu: Very good food at low price. They also serve daily menus, that are only 35 lei. I do recommend trying the Shanghai Chicken, but beware, the portions are big 😅. Very friendly staff and nice atmosphere.; Lola R: I really enjoyed the food at this place. The food was very delicious and filling. The waiter, I think his name was Ionut if I am not mistaken, was very friendly and helpful.
I recommend it 🍜; Andrei Brehuescu: Very good atmosphere, very calm and with relaxing music. If the weather is great you should really go outside on the terrace where there are some fountains as well. Most of the times the waiters are very nice to you, even discussing and giving recommandations. Great place, eat here every time I am around at lunch time !; Austin Graff: Craving Chinese food brought me to Restaurant Shanghai, a restaurant just south of the old part of the city that's been open for a few decades. Walking in, the space is beautifully-decorated and they even a small kids play area. I ordered takeout and within 15 minutes and 96 lei later, I was on my way.

I ordered their version of orange chicken. It's not at all like what I am used to in the U.S.A. (or even China), but it was tasty. The chicken breast is breaded and there are actual orange slices in it. It comes with rice.

For dessert, I got the black sesame dumplings. They came swimming in hot water. They are medium-sized balls filled with sugar and black sesame paste.; Mina Docinski: I went for a quick visit, I really like the arrangement of the place and the service was absolutely excellent.

I ordered a daily menu, and for 22 lei, which is less than 4 euros, I has a pork, bambus and mushroom soup and chicken Sishuan, the portions are really big, so maybe ask for less rice or just take one dish. As for the taste, they were not great but not bad either, out if 10, I would give a 7.

I have yet to return and try their other dishes and come back especially during the summer, I saw they have a really nice terrace.",0.82
Bistro Capriccio,"Strada Horea 32, Cluj-Napoca",4.3,ChIJr2S-7JgOSUcRRbV6i-i5GG8,"John F: Probably the best chicken crispy strips I’ve had in a while. The serving was perfect, as well!; Pano Nikitopoulos: I'm really happy that during my stay in Cluj i visited this bistro, the hot chicken wings were one of the best I've had and the antipasti also was excellent. I saw some tiramisu cups there that must have been amazing but i did not get that far. Surely deserves to be a classic place.; Yana K: Taste is good, but compare to other Italian restaurant I've visited portions are very small. In the photo here is 2 dishes on one plate, the size of which is like one dish in another restaurant.
But I wanted to tried risotto and I'm satisfyed by it.; Tibi N: A pleasant surprise outside the city center-old town. The food was great, even my son enjoyed it (very selective when it comes out to food) ,  and the staff very friendly. If you are in the neighborhood and don't exactly know where to go for lunch or dinner this is the place.; Chiriac Dumitru - Marcel: We had dinner here, very warm feeling, good food, good pizza and very fast served. Staff friendly. Huge variety for a bistro. Will come again.",0.83
Napoli Centrale,"Strada Constantin Dobrogeanu Gherea 17, Cluj-Napoca",4.5,ChIJqb7WPiEMSUcRmz9Ix3Xghug,"Chawn Sarter: good pizza with the worst service ! let’s start from positives - neapolitan style pizza which shall be a big bigger or balls a little bit smaller as it’s super heavy on the sides, lots of cheese makes tomatoes disappear but tasty ! now bad things - i’ve also tried dessert but canolli is not recommended, not balanced with ultra wet dough means it’s not a fresh one ! waiting time for pizza is …40 minutes without any information from service ! considering that i was starving it’s such a shitty move by service… and waiting for the bill was another 10 minutes when we were just sitting and looking at one of them doing everything else ! finally we paid by the counter without any communication ! all in all place is not bad but there are a lot of other places i’ve already checked in cluj with great service so go there but only for your own responsibility!; Georg Thingbø: Great venue with cosy backyard and amazing food. It looks very anonymous from the outside but really opens up as you go inside and out the back. Excellent and friendly service and the food comes quickly even when it was almost full. The pizza was really good and authentic Italian style with dough prepared to perfection. We read the review and have high expectations which was met with good margin. Highly recommended!; Alex Silcock: Beyond a very nondescript entrance lay this sophisticated-looking restaurant with its beautiful outdoor terrace and relaxing atmosphere. Delicious pizza - came here based on a colleague's recommendation and he was absolutely right. My pizza had superb neapolitan crust and flavoursome toppings. Good size portion too, so I was stuffed by the time we left. Our mains arrived straight after we were done with our starters as we requested, which I appreciate. The only very minor piece of constructive feedback I could give would be for the wait staff to check in on us a little more frequently - I'd have liked to order another drink but I struggled to catch her eye as she was busy looking after many tables. Not her fault, more an observation on how popular the restaurant was!; Vlad-Cristian Krisan: We tried pizza and mixed salad. Nothing special about the salad, but the pizza was really good and the ingredients qualitative. The staff is really nice and know both Romanian and English.; Catalin Demian: Good food. I had pizza, pasta and desert.
I really enjoyed the pizza, the dough was the real deal. The pasta was homemade and dessert was fine.",0.6
